,invokname,was_cold,latency
92,lin_pack_40,True,36.942469358444214
93,json_100,False,0.8536510467529297
94,json_40,False,2.1279547214508057
95,train_100,False,10.186179399490356
96,cham_100,False,2.6114327907562256
97,image_100,False,10.0167555809021
98,hello_75,False,1.6507151126861572
99,image_100,False,8.616721391677856
100,aes_75,True,17.581438541412354
101,dd_100,False,2.1881203651428223
102,lin_pack_100,False,0.8901553153991699
103,cnn_75,True,34.78411507606506
104,dd_75,True,16.413263082504272
105,train_100,False,11.817898750305176
106,float_100,False,0.8571014404296875
107,aes_10,True,29.09775733947754
108,cnn_40,False,2.9436004161834717
109,cnn_100,True,32.41393733024597
110,lin_pack_100,False,2.2225146293640137
111,cham_75,True,12.288043975830078
112,image_40,True,38.184736251831055
113,json_10,False,1.5013751983642578
114,hello_100,False,1.285797119140625
115,lin_pack_75,False,1.631986379623413
116,cham_75,True,15.035974979400635
117,image_100,False,9.484046697616577
118,image_100,False,9.9695463180542
119,image_75,False,9.274423122406006
120,gzip_75,False,2.456456184387207
121,gzip_40,False,2.7197041511535645
122,json_100,False,2.004136562347412
123,cham_75,True,13.843076467514038
124,cham_40,False,1.2583489418029785
125,json_100,False,0.9008398056030273
126,dd_10,True,19.56411862373352
127,cnn_75,True,31.286524295806885
128,dd_75,True,12.377235412597656
129,train_100,False,12.14524531364441
130,json_75,False,1.1557600498199463
131,cham_40,False,3.370846748352051
132,gzip_100,False,3.865663766860962
133,cnn_40,False,4.51685357093811
134,dd_100,False,4.300506353378296
135,dd_75,False,3.388929843902588
136,lin_pack_40,True,19.99544906616211
137,float_100,False,0.9998395442962646
138,cnn_100,True,30.77992033958435
139,hello_75,False,2.8258321285247803
140,cham_75,False,2.07352876663208
141,cnn_40,False,4.363469839096069
142,json_100,False,1.176389455795288
143,dd_40,False,2.374150037765503
144,float_100,False,1.0273573398590088
145,lin_pack_100,False,0.47244715690612793
146,aes_75,False,1.8623790740966797
147,json_40,False,1.2461354732513428
148,cnn_100,True,24.56974172592163
149,lin_pack_75,False,1.094043493270874
150,json_100,False,0.46231579780578613
151,cham_100,False,0.48497486114501953
152,lin_pack_75,False,0.47812795639038086
153,aes_75,False,0.8420734405517578
154,float_100,False,0.3682384490966797
155,dd_100,False,1.6218574047088623
156,image_75,False,6.856121778488159
157,gzip_100,False,1.0829927921295166
158,cnn_100,True,19.69667410850525
159,hello_40,False,2.644148111343384
160,gzip_75,False,0.835320234298706
161,image_40,False,14.169784784317017
162,hello_75,False,2.4504706859588623
163,float_75,False,0.5764749050140381
164,float_100,False,1.1060504913330078
165,aes_75,False,1.2373416423797607
166,dd_100,False,2.226210355758667
167,image_40,True,17.45544171333313
168,cham_40,False,5.482969284057617
169,train_40,True,17.051100969314575
170,float_100,False,2.1301474571228027
171,cham_75,False,1.646160364151001
172,float_40,False,1.0192441940307617
173,dd_100,False,3.753220796585083
174,json_75,False,1.2023701667785645
175,float_100,False,1.2201027870178223
176,float_40,False,0.6624622344970703
177,float_100,False,1.6713685989379883
178,json_75,False,1.0942435264587402
179,image_100,False,7.977291822433472
180,image_100,False,7.17658257484436
181,lin_pack_100,False,0.3157341480255127
182,gzip_75,False,0.543489933013916
183,gzip_75,False,0.8634839057922363
184,lin_pack_40,False,0.46234798431396484
185,cham_10,False,0.2847881317138672
186,dd_40,False,0.5717825889587402
187,float_100,False,1.1231791973114014
188,dd_100,False,0.8310959339141846
189,image_100,True,10.868982076644897
190,gzip_40,False,1.8745806217193604
191,aes_100,False,1.2474870681762695
192,image_40,False,7.007838726043701
193,gzip_75,False,0.7935175895690918
194,gzip_75,True,3.024481773376465
195,lin_pack_100,False,0.5097529888153076
196,gzip_100,False,0.8246941566467285
197,lin_pack_40,False,0.32211971282958984
198,cham_75,False,0.26221394538879395
