Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,cnn_150-1636670917.5589807,1,0,22625,22625,22625,22625,22625,22625,22625,22625,22625,22625,22625,22625,22625,22625,22625
Transaction,aes_150-1636670940.9915402,1,0,655,655,655,655,655,655,655,655,655,655,655,655,655,655,655
Transaction,image_75-1636670919.371273,1,0,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328,22328
Transaction,cnn_100-1636670939.1966584,1,0,2827,2827,2827,2827,2827,2827,2827,2827,2827,2827,2827,2827,2827,2827,2827
Transaction,image_100-1636670923.1929731,1,0,19379,19379,19379,19379,19379,19379,19379,19379,19379,19379,19379,19379,19379,19379,19379
Transaction,json_150-1636670940.2205186,1,0,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379,2379
Transaction,cnn_150-1636670939.8651977,1,0,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081
Transaction,json_40-1636670942.5810382,1,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
Transaction,video_75-1636670937.516065,1,0,5674,5674,5674,5674,5674,5674,5674,5674,5674,5674,5674,5674,5674,5674,5674
Transaction,gzip_150-1636670941.8445995,1,0,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603
Transaction,hello_150-1636670920.186751,1,0,24221,24221,24221,24221,24221,24221,24221,24221,24221,24221,24221,24221,24221,24221,24221
Transaction,aes_150-1636670943.7764041,1,0,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663
Transaction,cnn_75-1636670918.1827047,1,0,26635,26635,26635,26635,26635,26635,26635,26635,26635,26635,26635,26635,26635,26635,26635
Transaction,cnn_40-1636670940.6377256,1,0,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187
Transaction,float_40-1636670945.260716,1,0,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
Transaction,dd_150-1636670943.058903,1,0,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434
Transaction,cnn_100-1636670943.640039,1,0,2099,2099,2099,2099,2099,2099,2099,2099,2099,2099,2099,2099,2099,2099,2099
Transaction,hello_100-1636670918.1863093,1,0,27613,27613,27613,27613,27613,27613,27613,27613,27613,27613,27613,27613,27613,27613,27613
Transaction,cnn_150-1636670943.3886275,1,0,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619
