Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,dd_150-1636669921.5224285,1,0,21927,21927,21927,21927,21927,21927,21927,21927,21927,21927,21927,21927,21927,21927,21927
Transaction,image_150-1636669920.338637,1,0,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251
Transaction,train_75-1636669932.2050254,1,0,11475,11475,11475,11475,11475,11475,11475,11475,11475,11475,11475,11475,11475,11475,11475
Transaction,video_100-1636669936.9334757,1,0,7260,7260,7260,7260,7260,7260,7260,7260,7260,7260,7260,7260,7260,7260,7260
Transaction,hello_150-1636669943.3556743,1,0,957,957,957,957,957,957,957,957,957,957,957,957,957,957,957
Transaction,aes_150-1636669942.607162,1,0,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
Transaction,cnn_100-1636669942.907459,1,0,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875
Transaction,aes_40-1636669920.2147925,1,0,25116,25116,25116,25116,25116,25116,25116,25116,25116,25116,25116,25116,25116,25116,25116
Transaction,float_150-1636669922.0948114,1,0,23659,23659,23659,23659,23659,23659,23659,23659,23659,23659,23659,23659,23659,23659,23659
Transaction,gzip_150-1636669922.3440356,1,0,23450,23450,23450,23450,23450,23450,23450,23450,23450,23450,23450,23450,23450,23450,23450
Transaction,gzip_150-1636669945.0046968,1,0,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473
Transaction,dd_100-1636669944.7582855,1,0,2156,2156,2156,2156,2156,2156,2156,2156,2156,2156,2156,2156,2156,2156,2156
Transaction,cnn_150-1636669943.836646,1,0,3363,3363,3363,3363,3363,3363,3363,3363,3363,3363,3363,3363,3363,3363,3363
Transaction,hello_100-1636669920.4359922,1,0,26768,26768,26768,26768,26768,26768,26768,26768,26768,26768,26768,26768,26768,26768,26768
Transaction,aes_100-1636669945.8889463,1,0,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
Transaction,json_100-1636669923.280728,1,0,24983,24983,24983,24983,24983,24983,24983,24983,24983,24983,24983,24983,24983,24983,24983
Transaction,cham_100-1636669922.3402824,1,0,26465,26465,26465,26465,26465,26465,26465,26465,26465,26465,26465,26465,26465,26465,26465
Transaction,cham_100-1636669947.9137976,1,0,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404
Transaction,aes_150-1636669947.5512712,1,0,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977
Transaction,aes_75-1636669926.347068,1,0,23858,23858,23858,23858,23858,23858,23858,23858,23858,23858,23858,23858,23858,23858,23858
Transaction,cnn_100-1636669942.9047577,1,0,7358,7358,7358,7358,7358,7358,7358,7358,7358,7358,7358,7358,7358,7358,7358
Transaction,cnn_75-1636669945.304426,1,0,5781,5781,5781,5781,5781,5781,5781,5781,5781,5781,5781,5781,5781,5781,5781
Transaction,aes_40-1636669948.7901516,1,0,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456,2456
Transaction,cham_100-1636669923.0520494,1,0,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310,28310
Transaction,image_100-1636669918.423876,1,0,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332,33332
Transaction,lin_pack_150-1636669951.8510718,1,0,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
Transaction,train_150-1636669940.7511022,1,0,11301,11301,11301,11301,11301,11301,11301,11301,11301,11301,11301,11301,11301,11301,11301
Transaction,video_100-1636669918.3349254,1,0,34118,34118,34118,34118,34118,34118,34118,34118,34118,34118,34118,34118,34118,34118,34118
Transaction,json_150-1636669924.3491874,1,0,28304,28304,28304,28304,28304,28304,28304,28304,28304,28304,28304,28304,28304,28304,28304
Transaction,hello_40-1636669951.9132965,1,0,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934
Transaction,cham_150-1636669924.3608518,1,0,28644,28644,28644,28644,28644,28644,28644,28644,28644,28644,28644,28644,28644,28644,28644
Transaction,lin_pack_75-1636669951.3515337,1,0,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761
Transaction,float_150-1636669923.7645433,1,0,29513,29513,29513,29513,29513,29513,29513,29513,29513,29513,29513,29513,29513,29513,29513
Transaction,image_75-1636669920.3366303,1,0,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678,33678
Transaction,cnn_150-1636669927.3559768,1,0,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973,26973
Transaction,lin_pack_75-1636669926.8593903,1,0,28051,28051,28051,28051,28051,28051,28051,28051,28051,28051,28051,28051,28051,28051,28051
Transaction,video_75-1636669947.786607,1,0,7664,7664,7664,7664,7664,7664,7664,7664,7664,7664,7664,7664,7664,7664,7664
Transaction,hello_150-1636669925.3472195,1,0,30281,30281,30281,30281,30281,30281,30281,30281,30281,30281,30281,30281,30281,30281,30281
Transaction,float_150-1636669953.2893996,1,0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
Transaction,float_100-1636669954.6187532,1,0,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090
Transaction,hello_150-1636669923.992752,1,0,32290,32290,32290,32290,32290,32290,32290,32290,32290,32290,32290,32290,32290,32290,32290
Transaction,image_100-1636669923.345354,1,0,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174
Transaction,hello_100-1636669955.967911,1,0,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879
Transaction,aes_40-1636669955.8405561,1,0,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502
Transaction,gzip_40-1636669925.605217,1,0,32419,32419,32419,32419,32419,32419,32419,32419,32419,32419,32419,32419,32419,32419,32419
Transaction,video_40-1636669923.346424,1,0,35527,35527,35527,35527,35527,35527,35527,35527,35527,35527,35527,35527,35527,35527,35527
Transaction,lin_pack_75-1636669931.9340723,1,0,27272,27272,27272,27272,27272,27272,27272,27272,27272,27272,27272,27272,27272,27272,27272
Transaction,float_40-1636669925.3152213,1,0,35038,35038,35038,35038,35038,35038,35038,35038,35038,35038,35038,35038,35038,35038,35038
Transaction,float_100-1636669925.9862182,1,0,34560,34560,34560,34560,34560,34560,34560,34560,34560,34560,34560,34560,34560,34560,34560
Transaction,lin_pack_150-1636669933.4044108,1,0,27151,27151,27151,27151,27151,27151,27151,27151,27151,27151,27151,27151,27151,27151,27151
Transaction,hello_75-1636669959.2833898,1,0,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279
Transaction,image_75-1636669953.3901644,1,0,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
Transaction,aes_40-1636669959.4742558,1,0,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038
Transaction,gzip_75-1636669926.3482788,1,0,35167,35167,35167,35167,35167,35167,35167,35167,35167,35167,35167,35167,35167,35167,35167
Transaction,cham_150-1636669927.3744638,1,0,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287
Transaction,aes_150-1636669929.2873063,1,0,32661,32661,32661,32661,32661,32661,32661,32661,32661,32661,32661,32661,32661,32661,32661
Transaction,hello_75-1636669936.8654122,1,0,25084,25084,25084,25084,25084,25084,25084,25084,25084,25084,25084,25084,25084,25084,25084
Transaction,train_150-1636669923.3409903,1,0,38891,38891,38891,38891,38891,38891,38891,38891,38891,38891,38891,38891,38891,38891,38891
Transaction,image_100-1636669929.424711,1,0,32937,32937,32937,32937,32937,32937,32937,32937,32937,32937,32937,32937,32937,32937,32937
Transaction,lin_pack_40-1636669938.5780663,1,0,24176,24176,24176,24176,24176,24176,24176,24176,24176,24176,24176,24176,24176,24176,24176
Transaction,json_150-1636669960.973843,1,0,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891
Transaction,float_75-1636669961.9651022,1,0,1021,1021,1021,1021,1021,1021,1021,1021,1021,1021,1021,1021,1021,1021,1021
Transaction,aes_75-1636669962.2822003,1,0,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729
Transaction,lin_pack_75-1636669963.4930086,1,0,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
Transaction,gzip_150-1636669962.3771925,1,0,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404
Transaction,cham_150-1636669963.5952237,1,0,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
Transaction,video_100-1636669956.544397,1,0,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421
Transaction,video_100-1636669953.936817,1,0,10545,10545,10545,10545,10545,10545,10545,10545,10545,10545,10545,10545,10545,10545,10545
Transaction,hello_150-1636669964.0023017,1,0,973,973,973,973,973,973,973,973,973,973,973,973,973,973,973
Transaction,video_75-1636669921.337967,1,0,44455,44455,44455,44455,44455,44455,44455,44455,44455,44455,44455,44455,44455,44455,44455
Transaction,train_100-1636669954.7086954,1,0,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405,11405
Transaction,hello_100-1636669964.140756,1,0,2191,2191,2191,2191,2191,2191,2191,2191,2191,2191,2191,2191,2191,2191,2191
Transaction,cham_100-1636669927.3543665,1,0,39361,39361,39361,39361,39361,39361,39361,39361,39361,39361,39361,39361,39361,39361,39361
Transaction,video_75-1636669960.643356,1,0,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305
Transaction,hello_40-1636669930.510256,1,0,36573,36573,36573,36573,36573,36573,36573,36573,36573,36573,36573,36573,36573,36573,36573
Transaction,aes_100-1636669966.4944196,1,0,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749
Transaction,cham_100-1636669929.0795228,1,0,38820,38820,38820,38820,38820,38820,38820,38820,38820,38820,38820,38820,38820,38820,38820
Transaction,aes_40-1636669930.7758734,1,0,37164,37164,37164,37164,37164,37164,37164,37164,37164,37164,37164,37164,37164,37164,37164
Transaction,aes_100-1636669966.528325,1,0,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487
Transaction,json_100-1636669930.279759,1,0,37747,37747,37747,37747,37747,37747,37747,37747,37747,37747,37747,37747,37747,37747,37747
Transaction,cham_150-1636669966.7631123,1,0,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313
Transaction,gzip_100-1636669950.8295808,1,0,18065,18065,18065,18065,18065,18065,18065,18065,18065,18065,18065,18065,18065,18065,18065
Transaction,video_40-1636669925.3509822,1,0,43745,43745,43745,43745,43745,43745,43745,43745,43745,43745,43745,43745,43745,43745,43745
Transaction,float_150-1636669935.0868363,1,0,34143,34143,34143,34143,34143,34143,34143,34143,34143,34143,34143,34143,34143,34143,34143
Transaction,image_100-1636669957.3206875,1,0,11964,11964,11964,11964,11964,11964,11964,11964,11964,11964,11964,11964,11964,11964,11964
Transaction,json_150-1636669968.321258,1,0,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417
Transaction,gzip_150-1636669968.017636,1,0,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
Transaction,float_150-1636669953.286755,1,0,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825
Transaction,cham_40-1636669930.5480917,1,0,39856,39856,39856,39856,39856,39856,39856,39856,39856,39856,39856,39856,39856,39856,39856
Transaction,aes_150-1636669932.9176455,1,0,37731,37731,37731,37731,37731,37731,37731,37731,37731,37731,37731,37731,37731,37731,37731
Transaction,cnn_100-1636669968.789913,1,0,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009
Transaction,cham_100-1636669968.9750316,1,0,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883
Transaction,hello_100-1636669936.7780092,1,0,34492,34492,34492,34492,34492,34492,34492,34492,34492,34492,34492,34492,34492,34492,34492
Transaction,cham_100-1636669969.8912637,1,0,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
Transaction,dd_150-1636669970.641743,1,0,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
Transaction,train_150-1636669925.5055125,1,0,46664,46664,46664,46664,46664,46664,46664,46664,46664,46664,46664,46664,46664,46664,46664
Transaction,float_150-1636669955.7564137,1,0,16874,16874,16874,16874,16874,16874,16874,16874,16874,16874,16874,16874,16874,16874,16874
Transaction,image_150-1636669961.73458,1,0,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922,10922
Transaction,train_100-1636669927.3532026,1,0,45723,45723,45723,45723,45723,45723,45723,45723,45723,45723,45723,45723,45723,45723,45723
Transaction,gzip_150-1636669972.233057,1,0,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177
